0.0	0.0	0.0	0.0	0.0	0.0	
1.0	1.0	0.0	1.0	1.0	1.0	
0.0	2.0	1.0	2.0	0.0	2.0	
1.0	3.0	0.0	3.0	1.0	3.0	
2.0	0.0	1.0	4.0	2.0	0.0	
3.0	1.0	0.0	5.0	3.0	1.0	
4.0	2.0	1.0	0.0	4.0	2.0	
0.0	3.0	2.0	1.0	0.0	3.0	
1.0	4.0	0.0	2.0	1.0	4.0	
2.0	5.0	1.0	0.0	2.0	5.0	
3.0	6.0	0.0	1.0	3.0	6.0	
0.0	7.0	1.0	2.0	4.0	7.0	
1.0	0.0	2.0	3.0	5.0	0.0	
2.0	1.0	0.0	4.0	6.0	1.0	
3.0	2.0	1.0	0.0	0.0	2.0	
4.0	3.0	0.0	1.0	1.0	3.0	
0.0	4.0	1.0	0.0	2.0	4.0	
1.0	5.0	0.0	1.0	3.0	5.0	
2.0	0.0	1.0	2.0	4.0	6.0	
3.0	1.0	2.0	3.0	0.0	7.0	
4.0	2.0	0.0	4.0	1.0	8.0	
0.0	3.0	1.0	0.0	2.0	9.0	
1.0	4.0	0.0	1.0	3.0	10.0	
2.0	5.0	1.0	2.0	4.0	0.0	
0.0	6.0	2.0	0.0	5.0	1.0	
1.0	7.0	0.0	1.0	6.0	2.0	
2.0	0.0	1.0	2.0	7.0	3.0	
3.0	1.0	2.0	3.0	0.0	4.0	
4.0	2.0	0.0	4.0	1.0	5.0	
0.0	3.0	1.0	0.0	2.0	6.0	
1.0	4.0	0.0	1.0	3.0	7.0	
2.0	5.0	0.0	2.0	4.0	8.0	
0.0	6.0	1.0	0.0	5.0	9.0	
1.0	7.0	2.0	1.0	0.0	10.0	
2.0	8.0	0.0	2.0	1.0	11.0	
3.0	9.0	1.0	3.0	2.0	0.0	
4.0	0.0	2.0	4.0	3.0	1.0	
5.0	1.0	0.0	5.0	4.0	2.0	
0.0	2.0	1.0	0.0	5.0	3.0	
1.0	3.0	0.0	1.0	6.0	4.0	
2.0	4.0	1.0	2.0	0.0	5.0	
0.0	5.0	2.0	0.0	1.0	6.0	
1.0	6.0	0.0	1.0	2.0	7.0	
2.0	0.0	1.0	2.0	3.0	8.0	
3.0	1.0	0.0	3.0	4.0	9.0	
0.0	2.0	1.0	0.0	5.0	10.0	
1.0	3.0	0.0	1.0	6.0	11.0	
2.0	4.0	1.0	2.0	0.0	12.0	
3.0	5.0	2.0	3.0	1.0	0.0	
4.0	6.0	3.0	0.0	2.0	1.0	
5.0	7.0	0.0	1.0	3.0	2.0	
6.0	0.0	1.0	2.0	4.0	3.0	
0.0	1.0	2.0	3.0	5.0	4.0	
1.0	2.0	3.0	0.0	6.0	5.0	
2.0	3.0	0.0	1.0	7.0	6.0	
3.0	4.0	1.0	2.0	0.0	7.0	
4.0	5.0	0.0	3.0	1.0	8.0	
5.0	6.0	1.0	0.0	2.0	9.0	
0.0	7.0	2.0	1.0	3.0	10.0	
1.0	8.0	0.0	2.0	4.0	11.0	
2.0	9.0	1.0	0.0	5.0	12.0	
3.0	0.0	2.0	1.0	6.0	13.0	
4.0	1.0	0.0	2.0	7.0	14.0	
5.0	2.0	1.0	0.0	8.0	15.0	
0.0	3.0	2.0	1.0	9.0	16.0	
1.0	4.0	0.0	2.0	10.0	17.0	
2.0	5.0	1.0	3.0	0.0	18.0	
3.0	6.0	2.0	0.0	1.0	19.0	
0.0	7.0	3.0	1.0	2.0	20.0	
1.0	8.0	4.0	2.0	3.0	0.0	
2.0	9.0	0.0	3.0	4.0	1.0	
3.0	10.0	1.0	0.0	5.0	2.0	
0.0	11.0	2.0	1.0	6.0	3.0	
1.0	0.0	3.0	2.0	7.0	4.0	
2.0	1.0	0.0	3.0	8.0	5.0	
3.0	2.0	1.0	0.0	9.0	6.0	
0.0	3.0	2.0	1.0	10.0	7.0	
1.0	4.0	0.0	2.0	11.0	8.0	
2.0	5.0	1.0	3.0	0.0	9.0	
3.0	6.0	2.0	0.0	1.0	10.0	
0.0	7.0	3.0	1.0	2.0	11.0	
1.0	8.0	0.0	2.0	3.0	12.0	
2.0	9.0	1.0	0.0	4.0	13.0	
0.0	10.0	2.0	1.0	5.0	14.0	
1.0	0.0	3.0	2.0	6.0	15.0	
2.0	1.0	0.0	3.0	7.0	16.0	
3.0	2.0	1.0	0.0	8.0	17.0	
0.0	3.0	2.0	1.0	9.0	18.0	
1.0	4.0	0.0	2.0	10.0	19.0	
2.0	5.0	1.0	3.0	0.0	20.0	
3.0	6.0	0.0	4.0	1.0	21.0	
4.0	7.0	1.0	0.0	2.0	22.0	
0.0	8.0	2.0	1.0	3.0	23.0	
1.0	9.0	3.0	2.0	4.0	0.0	
2.0	10.0	0.0	3.0	5.0	1.0	
3.0	11.0	1.0	0.0	6.0	2.0	
0.0	12.0	2.0	1.0	7.0	3.0	
1.0	0.0	3.0	2.0	8.0	4.0	
2.0	1.0	0.0	3.0	9.0	5.0	
3.0	2.0	1.0	0.0	10.0	6.0	
0.0	3.0	2.0	1.0	11.0	7.0	
1.0	4.0	3.0	2.0	0.0	8.0	
2.0	5.0	0.0	3.0	1.0	9.0	
3.0	6.0	1.0	0.0	2.0	10.0	
0.0	7.0	2.0	1.0	3.0	11.0	
1.0	8.0	0.0	2.0	4.0	12.0	
2.0	9.0	1.0	0.0	5.0	13.0	
0.0	10.0	2.0	1.0	6.0	14.0	
1.0	0.0	3.0	2.0	7.0	15.0	
2.0	1.0	0.0	3.0	8.0	16.0	
3.0	2.0	1.0	0.0	9.0	17.0	
0.0	3.0	2.0	1.0	10.0	18.0	
1.0	4.0	0.0	2.0	11.0	19.0	
2.0	5.0	1.0	3.0	0.0	20.0	
3.0	6.0	2.0	0.0	1.0	21.0	
0.0	7.0	3.0	1.0	2.0	22.0	
1.0	8.0	0.0	2.0	3.0	23.0	
2.0	9.0	1.0	0.0	4.0	24.0	
0.0	10.0	2.0	1.0	5.0	25.0	
1.0	11.0	0.0	2.0	6.0	26.0	
2.0	0.0	1.0	3.0	7.0	27.0	
3.0	1.0	2.0	0.0	8.0	28.0	
4.0	2.0	3.0	1.0	9.0	0.0	
0.0	3.0	4.0	2.0	10.0	1.0	
1.0	4.0	0.0	3.0	11.0	2.0	
2.0	5.0	1.0	0.0	12.0	3.0	
3.0	6.0	0.0	1.0	13.0	4.0	
4.0	7.0	1.0	2.0	0.0	5.0	
0.0	8.0	2.0	3.0	1.0	6.0	
1.0	9.0	3.0	0.0	2.0	7.0	
2.0	10.0	0.0	1.0	3.0	8.0	
0.0	11.0	1.0	2.0	4.0	9.0	
1.0	12.0	0.0	3.0	5.0	10.0	
2.0	13.0	1.0	0.0	6.0	11.0	
0.0	14.0	2.0	1.0	7.0	12.0	
1.0	0.0	3.0	2.0	8.0	13.0	
2.0	1.0	0.0	3.0	9.0	14.0	
3.0	2.0	1.0	0.0	10.0	15.0	
0.0	3.0	2.0	1.0	11.0	16.0	
1.0	4.0	3.0	2.0	0.0	17.0	
2.0	5.0	0.0	3.0	1.0	18.0	
3.0	6.0	1.0	0.0	2.0	19.0	
0.0	7.0	2.0	1.0	3.0	20.0	
1.0	8.0	0.0	2.0	4.0	21.0	
2.0	9.0	1.0	0.0	5.0	22.0	
0.0	10.0	2.0	1.0	6.0	23.0	
1.0	11.0	0.0	2.0	7.0	24.0	
2.0	12.0	1.0	0.0	8.0	25.0	
3.0	0.0	2.0	1.0	9.0	26.0	
0.0	1.0	3.0	2.0	10.0	27.0	
1.0	2.0	0.0	3.0	11.0	28.0	
2.0	3.0	1.0	0.0	12.0	29.0	
0.0	4.0	2.0	1.0	13.0	30.0	
1.0	5.0	3.0	2.0	0.0	31.0	
2.0	6.0	4.0	3.0	1.0	0.0	
3.0	7.0	0.0	4.0	2.0	1.0	
4.0	8.0	1.0	0.0	3.0	2.0	
0.0	9.0	2.0	1.0	4.0	3.0	
1.0	10.0	0.0	2.0	5.0	4.0	
2.0	11.0	1.0	0.0	6.0	5.0	
0.0	12.0	2.0	1.0	7.0	6.0	
1.0	13.0	0.0	2.0	8.0	7.0	
2.0	0.0	1.0	3.0	9.0	8.0	
3.0	1.0	2.0	0.0	10.0	9.0	
4.0	2.0	0.0	1.0	11.0	10.0	
0.0	3.0	1.0	2.0	12.0	11.0	
1.0	4.0	2.0	0.0	13.0	12.0	
2.0	5.0	3.0	1.0	0.0	13.0	
3.0	6.0	0.0	2.0	1.0	14.0	
0.0	7.0	1.0	3.0	2.0	15.0	
1.0	8.0	2.0	0.0	3.0	16.0	
2.0	9.0	0.0	1.0	4.0	17.0	
0.0	10.0	1.0	2.0	5.0	18.0	
1.0	11.0	0.0	3.0	6.0	19.0	
2.0	12.0	1.0	0.0	7.0	20.0	
0.0	13.0	2.0	1.0	8.0	21.0	
1.0	14.0	0.0	2.0	9.0	22.0	
2.0	0.0	1.0	3.0	10.0	23.0	
3.0	1.0	2.0	0.0	11.0	24.0	
0.0	2.0	3.0	1.0	12.0	25.0	
